debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0003,DUKAKIS,i,118.59,118.65
1003,1003_t0003,DUKAKIS,don't,118.65,118.79
1003,1003_t0003,DUKAKIS,see,118.79,118.97
1003,1003_t0003,DUKAKIS,any,118.97,119.12
1003,1003_t0003,DUKAKIS,evidence,119.12,119.47
1003,1003_t0003,DUKAKIS,that,119.47,119.8
1003,1003_t0003,DUKAKIS,it's,119.8,120.07
1003,1003_t0003,DUKAKIS,a,120.21,120.26
1003,1003_t0003,DUKAKIS,deterrent,120.26,120.93
1003,1003_t0003,DUKAKIS,and,120.93,121.19
1003,1003_t0003,DUKAKIS,i,121.94,122.02
1003,1003_t0003,DUKAKIS,think,122.02,122.23
1003,1003_t0003,DUKAKIS,there,122.23,122.41
1003,1003_t0003,DUKAKIS,are,122.41,122.45
1003,1003_t0003,DUKAKIS,better,122.45,122.94
1003,1003_t0003,DUKAKIS,and,122.94,123.03
1003,1003_t0003,DUKAKIS,more,123.03,123.18
1003,1003_t0003,DUKAKIS,effective,123.18,123.6
1003,1003_t0003,DUKAKIS,ways,123.6,123.86
1003,1003_t0003,DUKAKIS,to,123.86,123.94
1003,1003_t0003,DUKAKIS,deal,123.94,124.11
1003,1003_t0003,DUKAKIS,with,124.11,124.21
1003,1003_t0003,DUKAKIS,violent,124.21,124.54
1003,1003_t0003,DUKAKIS,crime,124.54,124.87
1003,1003_t0003,DUKAKIS,we've,124.87,125.02
1003,1003_t0003,DUKAKIS,done,125.02,125.21
1003,1003_t0003,DUKAKIS,so,125.21,125.46
1003,1003_t0003,DUKAKIS,in,125.46,125.54
1003,1003_t0003,DUKAKIS,my,125.54,125.65
1003,1003_t0003,DUKAKIS,own,125.65,125.79
1003,1003_t0003,DUKAKIS,state,125.79,126.12
1003,1003_t0003,DUKAKIS,and,126.12,126.23
1003,1003_t0003,DUKAKIS,it's,126.23,126.47
1003,1003_t0003,DUKAKIS,one,126.47,126.58
1003,1003_t0003,DUKAKIS,of,126.58,126.65
1003,1003_t0003,DUKAKIS,the,126.65,126.71
1003,1003_t0003,DUKAKIS,reasons,126.71,127.15
1003,1003_t0003,DUKAKIS,why,127.15,127.51
1003,1003_t0003,DUKAKIS,we,128.07,128.21
1003,1003_t0003,DUKAKIS,have,128.21,128.98
1003,1003_t0003,DUKAKIS,had,129.4,129.59
1003,1003_t0003,DUKAKIS,the,129.59,129.8
1003,1003_t0003,DUKAKIS,biggest,129.8,130.41
1003,1003_t0003,DUKAKIS,drop,130.41,130.77
1003,1003_t0003,DUKAKIS,in,130.77,130.89
1003,1003_t0003,DUKAKIS,crime,130.89,131.21
1003,1003_t0003,DUKAKIS,of,131.21,131.29
1003,1003_t0003,DUKAKIS,any,131.29,131.43
1003,1003_t0003,DUKAKIS,industrial,131.43,131.8
