feature,lda_coefficient,abs_coef
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.07126666410411187,0.07126666410411187
F1bandwidth_sma3nz_stddevNorm,-0.07076345470202589,0.07076345470202589
loudness_sma3_stddevFallingSlope,-0.05738838757500697,0.05738838757500697
mfcc1V_sma3nz_stddevNorm,-0.056700834211699094,0.056700834211699094
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.05491940120970483,0.05491940120970483
logRelF0-H1-A3_sma3nz_stddevNorm,-0.04922632789914198,0.04922632789914198
hammarbergIndexV_sma3nz_stddevNorm,-0.048479543365556946,0.048479543365556946
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.04609260824647355,0.04609260824647355
loudnessPeaksPerSec,0.042447980379711855,0.042447980379711855
logRelF0-H1-H2_sma3nz_amean,0.038053847098904976,0.038053847098904976
loudness_sma3_stddevRisingSlope,0.03232740829674408,0.03232740829674408
mfcc1_sma3_stddevNorm,0.024447772517555113,0.024447772517555113
shimmerLocaldB_sma3nz_amean,0.023433910023132727,0.023433910023132727
logRelF0-H1-H2_sma3nz_stddevNorm,-0.021063796642103068,0.021063796642103068
slopeV500-1500_sma3nz_stddevNorm,-0.01712115512451305,0.01712115512451305
mfcc4V_sma3nz_stddevNorm,-0.016062843388961617,0.016062843388961617
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.015888547214800115,0.015888547214800115
StddevVoicedSegmentLengthSec,-0.014207093696040087,0.014207093696040087
mfcc2V_sma3nz_stddevNorm,-0.01241914908865721,0.01241914908865721
alphaRatioV_sma3nz_stddevNorm,0.012211175564917486,0.012211175564917486
VoicedSegmentsPerSec,-0.011004557797487937,0.011004557797487937
mfcc4_sma3_stddevNorm,0.010790815260349397,0.010790815260349397
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-0.010320444896678273,0.010320444896678273
mfcc2_sma3_stddevNorm,0.007862796597901003,0.007862796597901003
HNRdBACF_sma3nz_stddevNorm,-0.005877672424458226,0.005877672424458226
MeanVoicedSegmentLengthSec,-0.005646333943447852,0.005646333943447852
logRelF0-H1-A3_sma3nz_amean,0.00455507951248807,0.00455507951248807
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-0.0024787101183134357,0.0024787101183134357
slopeV0-500_sma3nz_stddevNorm,0.0008810476999758161,0.0008810476999758161
mfcc3V_sma3nz_stddevNorm,0.0003392538924676257,0.0003392538924676257
mfcc3_sma3_stddevNorm,-1.888557786629652e-05,1.888557786629652e-05
